dataset,suite,scene,task_index,language
libero_90_full_full,libero_90,LIVING_ROOM_SCENE4,33,pick up the chocolate pudding and put it in the tray
libero_90_full_full,libero_90,LIVING_ROOM_SCENE4,36,stack the right bowl on the left bowl and place them in the tray
libero_90_full_full,libero_90,LIVING_ROOM_SCENE4,50,stack the left bowl on the right bowl and place them in the tray
libero_90_full_full,libero_90,LIVING_ROOM_SCENE4,57,pick up the salad dressing and put it in the tray
libero_90_full_full,libero_90,LIVING_ROOM_SCENE4,65,pick up the black bowl on the left and put it in the tray
libero_90_full_full,libero_90,LIVING_ROOM_SCENE5,9,put the yellow and white mug on the right plate
libero_90_full_full,libero_90,LIVING_ROOM_SCENE5,19,put the red mug on the left plate
libero_90_full_full,libero_90,LIVING_ROOM_SCENE5,52,put the white mug on the left plate
libero_90_full_full,libero_90,LIVING_ROOM_SCENE5,58,put the red mug on the right plate
libero_90_full_full,libero_90,LIVING_ROOM_SCENE6,15,put the red mug on the plate
libero_90_full_full,libero_90,LIVING_ROOM_SCENE6,24,put the chocolate pudding to the right of the plate
libero_90_full_full,libero_90,LIVING_ROOM_SCENE6,25,put the chocolate pudding to the left of the plate
libero_90_full_full,libero_90,LIVING_ROOM_SCENE6,42,put the white mug on the plate
libero_90_full_full,libero_90,STUDY_SCENE1,21,pick up the yellow and white mug and place it to the right of the caddy
libero_90_full_full,libero_90,STUDY_SCENE2,37,pick up the book and place it in the back compartment of the caddy
libero_90_full_full,libero_90,STUDY_SCENE3,0,pick up the book and place it in the right compartment of the caddy
libero_90_full_full,libero_90,STUDY_SCENE3,12,pick up the book and place it in the front compartment of the caddy
libero_90_full_full,libero_90,STUDY_SCENE3,35,pick up the book and place it in the left compartment of the caddy
libero_90_full_full,libero_90,STUDY_SCENE3,47,pick up the white mug and place it to the right of the caddy
libero_90_full_full,libero_90,STUDY_SCENE3,51,pick up the red mug and place it to the right of the caddy
libero_90_full_full,libero_90,STUDY_SCENE4,22,pick up the book in the middle and place it on the cabinet shelf
libero_90_full_full,libero_90,STUDY_SCENE4,40,pick up the book on the right and place it under the cabinet shelf
libero_90_full_full,libero_90,STUDY_SCENE4,54,pick up the book on the left and place it on top of the shelf
libero_90_full_full,libero_90,STUDY_SCENE4,68,pick up the book on the right and place it on the cabinet shelf
libero_goal_full_full,libero_goal,libero_goal · single scene,0,put the bowl on the plate
libero_goal_full_full,libero_goal,libero_goal · single scene,1,put the wine bottle on the rack
libero_goal_full_full,libero_goal,libero_goal · single scene,2,open the top drawer and put the bowl inside
libero_goal_full_full,libero_goal,libero_goal · single scene,3,put the cream cheese in the bowl
libero_goal_full_full,libero_goal,libero_goal · single scene,4,put the wine bottle on top of the cabinet
libero_goal_full_full,libero_goal,libero_goal · single scene,5,push the plate to the front of the stove
libero_goal_full_full,libero_goal,libero_goal · single scene,6,turn on the stove
libero_goal_full_full,libero_goal,libero_goal · single scene,7,put the bowl on the stove
libero_goal_full_full,libero_goal,libero_goal · single scene,8,put the bowl on top of the cabinet
libero_goal_full_full,libero_goal,libero_goal · single scene,9,open the middle drawer of the cabinet
libero_object_full_full,libero_object,libero_object · single scene,0,pick up the orange juice and place it in the basket
libero_object_full_full,libero_object,libero_object · single scene,1,pick up the ketchup and place it in the basket
libero_object_full_full,libero_object,libero_object · single scene,2,pick up the cream cheese and place it in the basket
libero_object_full_full,libero_object,libero_object · single scene,3,pick up the bbq sauce and place it in the basket
libero_object_full_full,libero_object,libero_object · single scene,4,pick up the alphabet soup and place it in the basket
libero_object_full_full,libero_object,libero_object · single scene,5,pick up the milk and place it in the basket
libero_object_full_full,libero_object,libero_object · single scene,6,pick up the salad dressing and place it in the basket
libero_object_full_full,libero_object,libero_object · single scene,7,pick up the butter and place it in the basket
libero_object_full_full,libero_object,libero_object · single scene,8,pick up the tomato sauce and place it in the basket
libero_object_full_full,libero_object,libero_object · single scene,9,pick up the chocolate pudding and place it in the basket
libero_spatial_full_full,libero_spatial,libero_spatial · single scene,0,pick up the black bowl next to the cookie box and place it on the plate
libero_spatial_full_full,libero_spatial,libero_spatial · single scene,1,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate
libero_spatial_full_full,libero_spatial,libero_spatial · single scene,2,pick up the black bowl on the ramekin and place it on the plate
libero_spatial_full_full,libero_spatial,libero_spatial · single scene,3,pick up the black bowl on the stove and place it on the plate
libero_spatial_full_full,libero_spatial,libero_spatial · single scene,4,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial_full_full,libero_spatial,libero_spatial · single scene,5,pick up the black bowl on the cookie box and place it on the plate
libero_spatial_full_full,libero_spatial,libero_spatial · single scene,6,pick up the black bowl next to the plate and place it on the plate
libero_spatial_full_full,libero_spatial,libero_spatial · single scene,7,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial_full_full,libero_spatial,libero_spatial · single scene,8,pick up the black bowl from table center and place it on the plate
libero_spatial_full_full,libero_spatial,libero_spatial · single scene,9,pick up the black bowl on the wooden cabinet and place it on the plate
